id;budget;genres;imdb_id;original_language;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;status;tagline;title;vote_average;vote_count;production_companies_number;production_countries_number;spoken_languages_number
9540;13000000;Drama|Horror|Thriller;tt0094964;en;Dead Ringers;Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses interest, he will give the woman over to Beverly, the meeker of the two, without the woman knowing the difference. Beverly falls hard for one of the patients, Claire, but when she inadvertently deceives him, he slips into a state of madness.;0.635342;Téléfilm Canada;Canada;23/09/1988;8038508;115;English;Released;Two bodies. Two minds. One soul.;Dead Ringers;7.0;159;3;2;1
9541;35000000;Comedy|Romance;tt0300051;en;Jersey Girl;Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.;0.875156;Miramax Films;United States of America;25/03/2004;36098382;102;English;Released;He wanted it all...but he got more than he bargained for.;Jersey Girl;5.8;308;4;1;1
9542;6000000;Action|Horror|Thriller;tt0091209;en;The Hitcher;A young man who escaped the clutches of a murderous hitch-hiker is subsequently stalked, framed for the hitcher's crimes, and has his life made into hell by the same man he escaped.;1.303882;Silver Screen Partners;United States of America;21/02/1986;5844868;97;English;Released;The terror starts the moment he stops.;The Hitcher;7.0;172;3;1;1
9543;150000000;Adventure|Fantasy|Action|Romance;tt0473075;en;Prince of Persia: The Sands of Time;A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.;4.664284;Walt Disney Pictures;United States of America;19/05/2010;335154643;116;English;Released;Defy the Future;Prince of Persia: The Sands of Time;6.2;2138;2;1;1
9544;40000000;Horror|Thriller;tt0295254;en;FearDotCom;With four corpses on his hands, New York City gumshoe Mike Reilly (Stephen Dorff) teams with Department of Health worker Terry Huston (Natascha McElhone) to track down a homicidal sadist who telecasts shocking acts of torture on the Internet. But they have their work cut out: It seems the victims' only link is that they all went toes up 48 hours after logging on a site known as feardotcom.com. Stephen Rea also stars in this gruesome thriller.;0.863766;Milagro Films;Germany;09/08/2002;18902015;101;English;Released;The last site you'll ever see.;FearDotCom;3.2;96;8;4;2
9545;0;Action|Drama|Thriller;tt0108171;en;Sniper;Tough guy Thomas Beckett is an US soldier working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners on such missions. This time he's accompanied by crack marksman Richard Miller.;1.061872;TriStar Pictures;Peru;29/01/1993;18994653;98;English;Released;One Shot. One Kill. No Exceptions.;Sniper;5.9;101;4;2;1
9546;0;Action|Crime|Thriller;tt0102789;en;Ricochet;An attorney is terrorized by the criminal he put away years ago when he was a cop.;1.381344;Silver Pictures;United States of America;04/10/1991;0;109;English;Released;He's a cop accused of murder. And the only man who knows he's innocent is the killer who framed him.;Ricochet;5.9;76;4;1;2
9547;0;Adventure|Western;tt0057380;de;Old Shatterhand;Renegades trying to get the army to abandon their fort get the Indians addicted to whiskey, then convince them to attack and drive out the soldiers.;0.558357;Central Cinema Company Film;Germany;30/04/1964;0;122;Deutsch;Released;;Old Shatterhand;5.8;16;4;3;1
9548;49000000;Action|Comedy|Thriller|Crime|Mystery;tt0098987;en;The Adventures of Ford Fairlane;"Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?";0.471756;Twentieth Century Fox Film Corporation;United States of America;11/07/1990;20423389;104;English;Released;Kojak. Columbo. Dirty Harry. Wimps.;The Adventures of Ford Fairlane;6.0;66;2;1;1
9549;27000000;Drama|History;tt0086197;en;The Right Stuff;"A chronicle of the original Mercury astronauts in the formation of America's space program: Alan Shepherd, the first American in space; Gus Grissom, the benighted astronaut for whom nothing works out as planned; John Glenn, the straight-arrow 'boy scout' of the bunch who was the first American to orbit the earth; and the remaining pilots: Deke Slayton, Scott Carpenter and Wally Schirra.";3.410456;Warner Bros.;United States of America;21/10/1983;21500000;193;English;Released;How the future began.;The Right Stuff;7.3;221;2;1;2
